Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-20,Black Mirror: Common People,2025,https://boxd.it/9seaSJ,4,,,2025-04-19
2025-04-20,A Working Man,2025,https://boxd.it/9sn9W9,3.5,,,2025-04-20
2025-04-21,Black Mirror: Bête Noire,2025,https://boxd.it/9t2j0V,3.5,,,2025-04-21
2025-04-24,Black Mirror: Hotel Reverie,2025,https://boxd.it/9uZJw1,3.5,,,2025-04-24
2025-04-26,Black Mirror: Plaything,2025,https://boxd.it/9w0t2b,1,,,2025-04-25
2025-04-29,La Chimera,2023,https://boxd.it/9xWhLX,4.5,,,2025-04-28
2025-04-29,Sinners,2025,https://boxd.it/9ynBoX,4.5,,,2025-04-29
2025-05-07,Warfare,2025,https://boxd.it/9CNTOx,3,,,2025-05-07
2025-05-07,Conclave,2024,https://boxd.it/9CSlUr,4,,,2025-05-07
2025-05-07,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/9D78NR,4,Yes,,2025-05-07
2025-05-07,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/9D794t,4,Yes,,2025-05-07
2025-05-07,Pirates of the Caribbean: At World's End,2007,https://boxd.it/9D7a2j,4.5,Yes,,2025-05-07
2025-05-08,Thunderbolts*,2025,https://boxd.it/9DC0bx,4.5,,,2025-05-08
2025-05-13,The Descent,2005,https://boxd.it/9G3Iod,3,,,2025-05-13
2025-05-13,Black Mirror: Eulogy,2025,https://boxd.it/9GvJRV,3.5,,,2025-05-13
2025-05-17,The Secret Life of Walter Mitty,2013,https://boxd.it/9IcaCr,4,,,2025-05-17
2025-05-22,A Simple Favor,2018,https://boxd.it/9L7UrL,2.5,,,2025-05-19
2025-05-22,Final Destination Bloodlines,2025,https://boxd.it/9L7V3l,3,,,2025-05-21
2025-05-22,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9L7Vtj,4,,,2025-05-22
2025-05-25,Rogue One: A Star Wars Story,2016,https://boxd.it/9Nppqr,4.5,Yes,,2025-05-25
2025-05-27,Until Dawn,2025,https://boxd.it/9OuX8v,2.5,,,2025-05-27
